"BackgroundChannelIndex = 1; group_names={'ASCs','Beads'}; cell_diam_um = 21; umppix = 1500/1024;",,,,,
img_name,sample_id,group_id,hits,misses,total
RGB_M1C1L_20x1.tif,1,1,29,6,35
RGB_M1C1L_20x2.tif,1,1,9,2,11
RGB_M1C1L_20x3.tif,1,1,10,9,19
RGB_M1C1R_20x2.tif,1,2,7,0,7
RGB_M1C2L_20x1.tif,2,1,9,8,17
RGB_M1C2L_20x2.tif,2,1,11,8,19
RGB_M1C2L_20x3.tif,2,1,14,5,19
RGB_M1C2R_20x1.tif,2,2,1,3,4
RGB_M1C2R_20x2.tif,2,2,0,1,1
RGB_M1C2R_20x3.tif,2,2,1,0,1
RGB_M1C3L_20x1.tif,3,1,3,7,10
RGB_M1C3L_20x2.tif,3,1,8,3,11
RGB_M1C3L_20x3.tif,3,1,5,3,8
RGB_M2C1L_20x1.tif,4,1,13,5,18
RGB_M2C1R_20x1.tif,4,2,2,22,24
RGB_M2C2L_20x1.tif,5,1,6,22,28
RGB_M2C2L_20x2.tif,5,1,4,1,5
RGB_M2C2L_20x3.tif,5,1,14,13,27
RGB_M2C2R_20x1.tif,6,2,1,1,2
RGB_M2C2R_20x2.tif,6,2,1,1,2
RGB_M2C2R_20x3.tif,6,2,1,3,4
RGB_M2C3L_20x1.tif,7,1,6,1,7
RGB_M2C3L_20x2.tif,7,1,7,4,11
RGB_M2C3L_20x3.tif,7,1,1,7,8
RGB_M2C3R_20x1.tif,7,2,31,25,56
RGB_M2C3R_20x2.tif,7,2,37,24,61
RGB_M2C3R_20x3.tif,7,2,6,14,20
RGB_M3C1L_20x1.tif,8,1,25,11,36
RGB_M3C1L_20x2.tif,8,1,13,11,24
RGB_M3C1L_20x3.tif,8,1,18,9,27
RGB_M3C1R_20x1.tif,8,2,2,2,4
RGB_M3C1R_20x2.tif,8,2,5,8,13
RGB_M3C2L_20x1.tif,9,1,7,5,12
RGB_M3C2L_20x2.tif,9,1,21,12,33
RGB_M3C2L_20x3.tif,9,1,21,8,29
RGB_M3C2R_20x1.tif,9,2,3,2,5
RGB_M3C2R_20x2.tif,9,2,12,8,20
RGB_M3C2R_20x3.tif,9,2,16,7,23
RGB_M4C1L_20x1.tif,10,1,26,11,37
RGB_M4C1L_20x2.tif,10,1,33,26,59
RGB_M4C1L_20x3.tif,10,1,52,25,77
RGB_M4C1R_20x1.tif,10,2,3,1,4
RGB_M4C1R_20x2.tif,10,2,12,1,13
RGB_M4C1R_20x3.tif,10,2,12,10,22
RGB_M4C2L_20x1.tif,11,1,24,11,35
RGB_M4C2L_20x2.tif,11,1,16,19,35
RGB_M4C2L_20x3.tif,11,1,12,2,14
RGB_M4C2R_20x1.tif,11,2,2,5,7
RGB_M4C2R_20x2.tif,11,2,20,15,35
RGB_M4C2R_20x3.tif,11,2,13,11,24
RGB_M5C2L_20x1.tif,12,1,16,12,28
RGB_M5C2L_20x2.tif,12,1,9,6,15
RGB_M5C2L_20x3.tif,12,1,6,4,10
RGB_M5C2R_20x1.tif,12,2,3,4,7
RGB_M5C2R_20x2.tif,12,2,1,2,3
RGB_M5C2R_20x3.tif,12,2,6,4,10
RGB_M6C1L_20x1.tif,13,1,21,11,32
RGB_M6C1L_20x2.tif,13,1,28,12,40
RGB_M6C1L_20x3.tif,13,1,6,7,13
RGB_M6C1R_20x3.tif,13,2,0,1,1
RGB_M6C2L_20x1.tif,14,1,2,6,8
RGB_M6C2L_20x2.tif,14,1,2,1,3
RGB_M6C2L_20x3.tif,14,1,1,8,9
RGB_M6C2R_20x1.tif,14,2,1,0,1
RGB_M6C2R_20x2.tif,14,2,1,0,1
RGB_M6C2R_20x3.tif,14,2,1,3,4
RGB_M7C1L_20x1.tif,15,1,17,16,33
RGB_M7C1L_20x2.tif,15,1,12,5,17
RGB_M7C1L_20x3.tif,15,1,26,30,56
RGB_M7C1R_20x1.tif,15,2,2,2,4
RGB_M7C1R_20x2.tif,15,2,5,8,13
RGB_M7C1R_20x3.tif,15,2,2,4,6
